match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,p1_rank,p2_rank,p1_age,p2_age,p1_age_pro,p2_age_pro,Name,rank_points,DATA_NUM,per1,per2,mmtm1,mmtm2,new_mmtm1,new_mmtm2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:00:00,1,1,1,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,7.84,2,95.0,BC,NCTL,ND,7175,1276,20,28,5,9,Novak Djokovic,7595.0,0,-1.25,1.1,-1.25,1.1,-0.625,0.55
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:00:38,1,1,2,0,0,0,0,0,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,118.0,B,CTL,ND,7175,1276,20,28,5,9,Carlos Alcaraz,7175.0,1,0.9181714215347936,-0.8821882069102339,-0.05532955730446254,-0.02550734553168843,-0.02766477865223127,-0.012753672765844215
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:01:01,1,1,3,0,0,0,0,15,15,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4,120.0,B,NCTL,D,7175,1276,20,28,5,9,Daniil Medvedev,6100.0,2,-1.25,1.1,-1.2930907025557097,1.0801348593258482,-0.6465453512778548,0.5400674296629241
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:01:31,1,1,4,0,0,0,0,15,30,1,1,1,2,2,0,0,0,0,1,0,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13,130.0,BW,CTL,D,7175,1276,20,28,5,9,Stefanos Tsitsipas,4920.0,3,1.05404491058171,-1.0127368025837642,0.0469848588489703,-0.17152692831807193,0.02349242942448515,-0.08576346415903596
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:02:21,1,1,5,0,0,0,0,30,30,1,1,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,0.813,1,112.0,W,NCTL,,7175,1276,20,28,5,9,Holger Rune,4375.0,4,1.2,-0.9,1.2365918448640774,-1.033585306091947,5.118295922432039,-0.5167926530459735
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:02:50,1,1,6,0,0,0,0,40,30,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,97.0,BW,NCTL,ND,7175,1276,20,28,5,9,Andrey Rublev,4000.0,5,-1.2760271706435713,1.3275503096856622,-0.3129684735237146,0.5225932639301561,-0.1564842367618573,0.2612966319650781
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:03:33,1,1,7,0,0,0,0,40,40,1,1,1,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1,109.0,W,CTL,D,7175,1276,20,28,5,9,Jannik Sinner,3300.0,6,1.5841632116132445,-1.2530434079207693,1.3404231193563132,-0.8460473647441223,4.670211559678156,-0.42302368237206117
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:04:01,1,1,8,0,0,0,0,-1,40,1,2,2,4,4,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.503,18.067,6,105.0,B,NCTL,ND,7175,1276,20,28,5,9,Frances Tiafoe,2835.0,7,-1.2491885856797396,1.29586630539922,-0.20526601067802774,0.6369639552209991,-0.10263300533901387,0.31848197761049957
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:04:48,1,1,9,0,0,0,0,40,40,1,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34.489,24.594,7,128.0,BC,CTL,D,7175,1276,20,28,5,9,Hubert Hurkacz,2435.0,8,0.9001334339190334,-0.9001334339190334,0.7402721040650421,-0.40406540680466,0.37013605203252103,-0.20203270340233
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:05:32,1,1,10,0,0,0,0,-1,40,1,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,110.0,B,NCTL,ND,7175,1276,20,28,5,9,Tommy Paul,2205.0,9,1.11651123473002,-1.1528142375981452,1.6930357290617912,-1.46750069282968,0.8465178645308956,-0.73375034641484
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:07:05,1,2,11,0,0,1,0,0,0,2,1,2,6,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785,4.915,1,112.0,W,CTL,D,7175,1276,20,28,5,9,Lorenzo Musetti,2095.0,10,-0.990445571777861,1.3849711705297123,-0.7613181018555784,1.1863665486156822,-0.3806590509277892,4.093183274307841
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:07:28,1,2,12,0,0,1,0,0,15,2,1,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.744,18.244,4,130.0,W,NCTL,D,7175,1276,20,28,5,9,Matteo Berrettini,1582.0,11,1.0782300306680637,-1.1222095152091922,0.48531489677650363,-0.198266318137579,0.24265744838825182,-0.0991331590687895
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:08:06,1,2,13,0,0,1,0,15,15,2,1,1,8,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.013,18.626,4,120.0,C,NCTL,D,7175,1276,20,28,5,9,Alexander Zverev,1450.0,12,0.9078527940538876,-1.139406347470037,1.2858164156996468,-1.293816311292268,0.6429082078498234,-0.646908155646134
