Index,Real,Predict_1,Predict_2,Predict_3,Predict_4,Predict_5,Predict_6,Predict_7,Predict_8,Predict_9,Predict_10,Predict_11,Predict_12,Predict_13,Predict_14,Predict_15,Predict_16,Predict_17,Predict_18,Predict_19,Predict_20,Predict_21,Predict_22,Predict_23,Predict_24,Predict_25,Predict_26,Predict_27,Predict_28,Predict_29
0,-1.95638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-1.93169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-1.87228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-1.78813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-1.68453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-1.57683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-1.48375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-1.41641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-1.37458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-1.36146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-1.38063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-1.42603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-1.47865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-1.5298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-1.57376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-1.61177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,-1.64353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-1.65943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-1.65368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-1.6384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,-1.63862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-1.67966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,-1.77456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-1.93018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,-2.14092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,-2.3743,-2.423170566558838,-2.349055290222168,-2.3793201446533203,-2.407386541366577,-2.3826334476470947,-2.4302902221679688,-2.442489624023437,-2.393096446990967,-2.35429310798645,-2.405689477920532,-2.4031996726989746,-2.402991533279419,-2.465916395187378,-2.4271316528320312,-2.340564489364624,-2.255311250686645,-2.392521381378174,-2.368906259536743,-2.3706717491149902,-2.437954902648926,-2.304938077926636,-2.354976177215576,-2.443414688110352,-2.352987289428711,-2.3440470695495605,-2.331016778945923,-2.3887596130371094,-2.3491628170013428,-2.4098331928253174
26,-2.59078,-2.616414785385132,-2.542729616165161,-2.634260654449463,-2.6401712894439697,-2.596980094909668,-2.626360416412353,-2.6422507762908936,-2.6338632106781006,-2.6229140758514404,-2.606449604034424,-2.675384044647217,-2.59924840927124,-2.602851390838623,-2.632599353790283,-2.4647934436798096,-2.6363539695739746,-2.645827531814575,-2.503051280975342,-2.623772621154785,-2.653977870941162,-2.6000430583953857,-2.586568593978882,-2.6755640506744385,-2.6427791118621826,-2.5816004276275635,-2.448041677474976,-2.621345996856689,-2.636073589324951,-2.5588600635528564
27,-2.76211,-2.7468361854553223,-2.6571033000946045,-2.667020082473755,-2.8358709812164307,-2.752516508102417,-2.7043890953063965,-2.785111904144287,-2.6658785343170166,-2.582839012145996,-2.8457369804382324,-2.8473870754241943,-2.741162061691284,-2.8102335929870605,-2.6239893436431885,-2.817300796508789,-2.820317506790161,-2.781249046325684,-2.806404829025269,-2.7661287784576416,-2.753500461578369,-2.7777130603790283,-2.66081166267395,-2.7541325092315674,-2.6189944744110107,-2.798809289932251,-2.77425217628479,-2.78698992729187,-2.830091714859009,-2.7191309928894043
28,-2.87534,-2.854032278060913,-2.8123819828033447,-2.884512424468994,-2.9050450325012207,-2.85357928276062,-2.910116910934448,-2.749575614929199,-2.565343379974365,-2.8380913734436035,-2.8741841316223145,-2.84937047958374,-2.82455849647522,-2.679364919662476,-2.8101449012756348,-2.852799415588379,-2.8124516010284424,-2.9381160736083984,-2.7828478813171387,-2.8862197399139404,-2.737868547439575,-2.8825857639312744,-2.8733980655670166,-2.965022563934326,-2.9184048175811768,-2.787748098373413,-2.8053135871887207,-2.823861122131348,-2.9356529712677,-2.9123101234436035
29,-2.93209,-2.99311637878418,-2.898647785186768,-2.78138279914856,-2.7662224769592285,-2.910893201828003,-2.977821350097656,-2.9107372760772705,-2.930673837661743,-2.88919448852539,-2.79560661315918,-3.011795282363892,-2.6955134868621826,-2.9914376735687256,-2.987905979156494,-2.919784545898437,-2.8916640281677246,-2.957746744155884,-2.9288647174835205,-2.936345100402832,-2.951146125793457,-2.953789472579956,-2.9283549785614014,-3.0106418132781982,-2.858081817626953,-2.787051200866699,-2.949668407440185,-2.96829891204834,-2.8694093227386475,-2.975928544998169
30,-2.94447,-3.0063796043396,-2.910496234893799,-2.9593734741210938,-2.9661436080932617,-2.914650678634644,-3.0058236122131348,-2.921038627624512,-2.9553937911987305,-2.9618380069732666,-3.0029025077819824,-3.029770851135254,-2.898749828338623,-3.02224063873291,-3.0126073360443115,-3.006279230117798,-3.0081636905670166,-2.7943592071533203,-2.828542947769165,-2.9621613025665283,-2.999884843826294,-2.9647648334503174,-2.94311261177063,-3.0151000022888184,-2.8668792247772217,-2.7529444694519043,-2.846766233444214,-3.0066068172454834,-2.739647388458252,-3.0118958950042725
31,-2.93502,-3.0119807720184326,-2.95896577835083,-2.969257116317749,-2.98228406906128,-2.71837854385376,-2.790821075439453,-2.98938536643982,-2.782339096069336,-3.017057418823242,-2.845231533050537,-2.866899013519287,-3.027751922607422,-2.8686819076538086,-2.857316017150879,-2.906911849975586,-3.006150722503662,-2.8225128650665283,-2.949137210845948,-2.839549779891968,-3.00974988937378,-2.964934825897217,-2.935927391052246,-2.8765459060668945,-2.903623580932617,-2.767333745956421,-2.9872288703918457,-2.856564521789551,-2.9760255813598637,-2.930631160736084
